Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Seychelles,2014,122nd,Stable,6.4,5.7,4.8,4.9,6.3,5.2,6,3.5,4.9,5.4,3.4,7.2
Sierra Leone,2014,35th,Warning,5.1,7.7,5.9,8.3,8.5,8.3,7.2,9.1,5.9,8.7,7.8,7.4
Singapore,2014,158th,Sustainable,2,4,2.8,2.8,4,3.6,3.5,2.1,4.9,2.8,1.4,2
Slovak Republic,2014,146th,Stable,2.6,3.7,5.6,5.4,4.3,4.5,4,3.2,3,3.1,2.3,3.6
Slovenia,2014,163rd,Sustainable,2.4,1.6,3.6,3.9,4.2,2.9,2.9,2.3,2.3,2.4,1.6,2.5
Solomon Islands,2014,47th,Warning,6.7,8,6.8,7.5,8.6,6,7,7.9,6,8.2,5.2,8.5
Somalia,2014,2nd,Alert,9.4,10,9.3,9.1,8.7,8.9,9.1,9.6,9.8,9.5,10,9.2
South Africa,2014,115th,Warning,4.9,5.6,5.8,5.8,7.7,4.6,5,6.1,4.3,7.4,6.2,3.2
South Korea,2014,156th,Stable,2.4,3.6,3.1,2.3,3.2,3.6,2.8,2.1,2.9,2.9,1.8,5.7
South Sudan,2014,1st,Alert,9.9,10,10,8.8,8.9,6.8,9.7,9.9,9.9,9.1,10,9.9
Spain,2014,150th,Stable,3.6,6.1,6.1,5.3,3.8,2.7,3.4,3,2.2,3,2,1.9
Sri Lanka,2014,30th,Warning,8.2,9.4,9.3,6.2,7.5,7.6,8.3,5.3,9.1,6.5,8.5,6.7
Sudan,2014,5th,Alert,9.6,10,9.9,8.1,8.2,8.7,9.3,9.1,9.3,8.6,9.7,9.6
Suriname,2014,109th,Warning,5.7,5.8,6.1,7.1,6.9,7.4,5.8,5.5,5.2,5.6,3.3,6.2
Swaziland,2014,51st,Warning,5.7,7,3.6,8.9,7.8,6.6,8.8,7.7,8,8.7,5.2,7.8
Sweden,2014,177th,Sustainable,2.4,1.8,1,2,1.8,1.8,0.8,1.8,1.3,2.8,2.6,1.3
Switzerland,2014,174th,Sustainable,1.7,1,3.5,2.2,2.4,2.4,0.9,1.7,1.7,2.4,1.8,1.6
Syria,2014,15th,Alert,10,9.6,10,6.7,6.9,6.9,9.8,7.2,9.9,6,10,8.6
Tajikistan,2014,55th,Warning,7.1,8.4,7,7.7,5.9,6.1,9,6.2,7.9,7.5,5.1,6.7
Tanzania,2014,65th,Warning,5.2,5.7,5.9,6.7,6.7,6.7,6,8.7,6.3,8.6,6.7,7.6
Thailand,2014,80th,Warning,7.9,9.5,8,3.6,6.1,3.8,7.1,4.9,7.4,7.6,6.5,4.6
Timor-Leste,2014,31st,Warning,8,8.3,6.8,8.2,6.4,6.7,7.7,8.5,5.7,8.8,7.1,8.8
Togo,2014,41st,Warning,7.1,7.6,4.8,7.1,7.8,7.1,8.4,8.3,7.5,7.9,7.4,6.8
Trinidad and Tobago,2014,126th,Stable,5.4,5.6,4.4,4.6,5.8,7.8,5.3,5.1,4.9,5.2,3.3,3.9
Tunisia,2014,78th,Warning,7.3,8.1,7.8,6.3,5.7,5.3,8,5.2,8.1,4.7,4.4,6.6
Turkey,2014,93rd,Warning,7.4,7.3,9,5.3,6.5,3.7,6,5.2,5.9,5.4,7.1,5.3
Turkmenistan,2014,74th,Warning,6.8,7.8,6.9,5.3,6.7,5.1,9.6,6.4,8.5,6,4.2,4.9
Uganda,2014,22nd,Warning,7.9,8.9,8.3,7.3,7.6,6.9,7.8,8.3,7.6,8.7,8.7,8
Ukraine,2014,113th,Warning,4.7,8,6.4,5.5,5,5.4,8,3.9,6.1,4.5,3.4,6.3
United Arab Emirates,2014,143rd,Stable,3.1,3.6,4,3.4,4.5,2.7,6.7,3.2,6.5,4.2,2.5,3.2
United Kingdom,2014,161st,Sustainable,2.8,3.5,5.3,4,3.4,2.1,1.7,2.4,2.1,2.8,2.7,1.5
United States,2014,159th,Stable,2.7,4,4.5,3.1,4.5,1.2,2.4,2.5,3.5,3.3,2.4,1.3
Uruguay,2014,155th,Sustainable,3.4,2.7,2.7,3.5,4.5,4.4,1.6,3.7,2.2,3.8,2.2,3.2
Uzbekistan,2014,48th,Warning,7.6,8.8,7.4,7.1,7.3,6.6,9.3,5.4,9.3,6.4,5.7,5.4
Venezuela,2014,83rd,Warning,6.2,7.7,6.8,5.5,6.9,5.5,7.7,7.5,7.8,5.4,5.1,4.6
Vietnam,2014,98th,Warning,5.1,6.9,6,5.7,5.8,5.5,8,5.5,7.6,6.2,5,5.4
Yemen,2014,8th,Alert,9.5,9.4,9.3,9.1,7.8,7.3,8.9,8.5,9,9.1,9,8.5
Zambia,2014,49th,Warning,4.7,5.7,6,8,8.3,7.7,7.7,7.9,6.8,9.3,7.2,6.9
Zimbabwe,2014,11th,Warning,8.1,10,8.1,8.3,8.3,8.3,9.3,8.8,8.6,8.9,8.4,7.7
